Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Deces_Cumulatif_Total,Nb_Nvx_Deces_Total
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,1,0,0
2020-03-07,1,0,0,0
2020-03-08,1,0,0,0
2020-03-09,1,0,0,0
2020-03-10,1,0,0,0
2020-03-11,3,2,0,0
2020-03-12,5,2,0,0
2020-03-13,6,1,0,0
2020-03-14,7,1,1,1
2020-03-15,9,2,1,0
2020-03-16,14,5,1,0
2020-03-17,18,4,2,1
2020-03-18,26,8,3,1
2020-03-19,74,48,3,0
2020-03-20,149,75,4,1
2020-03-21,288,139,5,1
2020-03-22,459,171,6,1
2020-03-23,717,258,7,1
2020-03-24,937,220,10,3
2020-03-25,1186,249,18,8
2020-03-26,1530,344,24,6
2020-03-27,1963,433,27,3
2020-03-28,2368,405,41,14
2020-03-29,2868,500,51,10
2020-03-30,3471,603,65,14
2020-03-31,4224,753,80,15
2020-04-01,4798,574,94,14
2020-04-02,5513,715,111,17
2020-04-03,6126,613,140,29
2020-04-04,6749,623,188,48
2020-04-05,7255,506,226,38
2020-04-06,7867,612,274,48
2020-04-07,8687,820,326,52
2020-04-08,9240,553,382,56
2020-04-09,10048,808,447,65
2020-04-10,10611,563,517,70
2020-04-11,11263,652,581,64
2020-04-12,12084,821,661,80
2020-04-13,12944,860,750,89
2020-04-14,13995,1051,836,86
2020-04-15,14879,884,924,88
2020-04-16,15741,862,1009,85
2020-04-17,16575,834,1088,79
2020-04-18,17262,687,1180,92
2020-04-19,17919,657,1290,110
2020-04-20,18618,699,1388,98
2020-04-21,19287,669,1495,107
2020-04-22,20082,795,1597,102
2020-04-23,20828,746,1711,114
2020-04-24,21604,776,1811,100
2020-04-25,22279,675,1929,118
2020-04-26,22883,604,2040,111
2020-04-27,23575,692,2149,109
2020-04-28,24383,808,2282,133
2020-04-29,25230,847,2415,133
2020-04-30,26041,811,2534,119
2020-05-01,26886,845,2653,119
2020-05-02,27644,758,2767,114
2020-05-03,28375,731,2865,98
2020-05-04,28945,570,2974,109
2020-05-05,29789,844,3059,85
2020-05-06,30665,876,3154,95
2020-05-07,31453,788,3249,95
2020-05-08,32145,692,3332,83
2020-05-09,32751,606,3424,92
2020-05-10,33421,670,3504,80
2020-05-11,33981,560,3596,92
2020-05-12,34610,629,3668,72
2020-05-13,35290,680,3723,55
2020-05-14,36005,715,3811,88
2020-05-15,36699,694,3893,82
2020-05-16,37435,736,3963,70
2020-05-17,38060,625,4025,62
2020-05-18,38605,545,4081,56
2020-05-19,39234,629,4137,56
2020-05-20,39892,658,4206,69
2020-05-21,40546,654,4257,51
2020-05-22,41058,512,4326,69
2020-05-23,41559,501,4388,62
2020-05-24,42101,542,4450,62
2020-05-25,42459,358,4506,56
2020-05-26,42856,397,4569,63
2020-05-27,43267,411,4621,52
2020-05-28,43651,384,4698,77
2020-05-29,44033,382,4758,60
2020-05-30,44400,367,4793,35
2020-05-31,44647,247,4833,40
2020-06-01,44901,254,4871,38
2020-06-02,45130,229,4908,37
2020-06-03,45364,234,4940,32
2020-06-04,45600,236,4955,15
2020-06-05,45836,236,4981,26
2020-06-06,46048,212,5006,25
2020-06-07,46205,157,5025,19
2020-06-08,46323,118,5037,12
2020-06-09,46494,171,5053,16
2020-06-10,46649,155,5065,12
2020-06-11,46790,141,5087,22
2020-06-12,46941,151,5102,15
2020-06-13,47047,106,5116,14
2020-06-14,47131,84,5126,10
2020-06-15,47222,91,5141,15
2020-06-16,47322,100,5151,10
2020-06-17,47437,115,5156,5
2020-06-18,47540,103,5164,8
2020-06-19,47636,96,5172,8
2020-06-20,47725,89,5178,6
2020-06-21,47800,75,5185,7
2020-06-22,47867,67,5195,10
2020-06-23,47944,77,5206,11
2020-06-24,48026,82,5216,10
2020-06-25,48095,69,5222,6
2020-06-26,48156,61,5228,6
2020-06-27,48230,74,5234,6
2020-06-28,48282,52,5237,3
2020-06-29,48315,33,5245,8
2020-06-30,48402,87,5254,9
2020-07-01,48485,83,5259,5
2020-07-02,48555,70,5264,5
2020-07-03,48642,87,5267,3
2020-07-04,48734,92,5273,6
2020-07-05,48787,53,5274,1
2020-07-06,48852,65,5281,7
2020-07-07,48957,105,5284,3
2020-07-08,49080,123,5288,4
2020-07-09,49201,121,5289,1
2020-07-10,49298,97,5291,2
2020-07-11,49406,108,5296,5
2020-07-12,49480,74,5297,1
2020-07-13,49617,137,5301,4
2020-07-14,49740,123,5302,1
2020-07-15,49895,155,5307,5
2020-07-16,50032,137,5310,3
2020-07-17,50209,177,5313,3
2020-07-18,50404,195,5313,0
2020-07-19,50515,111,5314,1
2020-07-20,50659,144,5315,1
2020-07-21,50852,193,5316,1
2020-07-22,51039,187,5320,4
2020-07-23,51200,161,5323,3
2020-07-24,51353,153,5323,0
2020-07-25,51498,145,5325,2
2020-07-26,51604,106,5325,0
2020-07-27,51717,113,5326,1
2020-07-28,51855,138,5327,1
2020-07-29,52028,173,5328,1
2020-07-30,52188,160,5332,4
2020-07-31,52311,123,5333,1
2020-08-01,52434,123,5335,2
2020-08-02,52536,102,5336,1
2020-08-03,52676,140,5337,1
2020-08-04,52824,148,5337,0
2020-08-05,52954,130,5339,2
2020-08-06,53060,106,5344,5
2020-08-07,53184,124,5345,1
2020-08-08,53304,120,5347,2
2020-08-09,53395,91,5348,1
2020-08-10,53477,82,5349,1
2020-08-11,53589,112,5352,3
2020-08-12,53689,100,5356,4
2020-08-13,53772,83,5358,2
2020-08-14,53837,65,5359,1
2020-08-15,53897,60,5362,3
2020-08-16,53945,48,5365,3
2020-08-17,53999,54,5367,2
2020-08-18,54088,89,5367,0
2020-08-19,54181,93,5371,4
2020-08-20,54288,107,5374,3
2020-08-21,54390,102,5377,3
2020-08-22,54479,89,5378,1
2020-08-23,54526,47,5381,3
2020-08-24,54580,54,5383,2
2020-08-25,54706,126,5384,1
2020-08-26,54838,132,5385,1
2020-08-27,54942,104,5385,0
2020-08-28,55073,131,5391,6
2020-08-29,55193,120,5394,3
2020-08-30,55312,119,5394,0
2020-08-31,55445,133,5395,1
2020-09-01,55631,186,5395,0
2020-09-02,55799,168,5396,1
2020-09-03,56017,218,5398,2
2020-09-04,56220,203,5399,1
2020-09-05,56440,220,5402,3
2020-09-06,56633,193,5402,0
2020-09-07,56784,151,5404,2
2020-09-08,56992,208,5404,0
2020-09-09,57241,249,5408,4
2020-09-10,57486,245,5410,2
2020-09-11,57832,346,5410,0
2020-09-12,58163,331,5412,2
2020-09-13,58449,286,5415,3
2020-09-14,58702,253,5419,4
2020-09-15,59027,325,5421,2
2020-09-16,59352,325,5424,3
2020-09-17,59714,362,5427,3
2020-09-18,60210,496,5434,7
2020-09-19,60660,450,5440,6
2020-09-20,61162,502,5443,3
2020-09-21,61672,510,5445,2
2020-09-22,62208,536,5449,4
2020-09-23,62869,661,5453,4
2020-09-24,63607,738,5460,7
2020-09-25,64397,790,5462,2
2020-09-26,65273,876,5468,6
2020-09-27,66195,922,5471,3
2020-09-28,67065,870,5478,7
2020-09-29,68040,975,5486,8
2020-09-30,69110,1070,5495,9
2020-10-01,70225,1115,5503,8
2020-10-02,71531,1306,5509,6
2020-10-03,72571,1040,5519,10
2020-10-04,73493,922,5530,11
2020-10-05,74300,807,5539,9
2020-10-06,75396,1096,5552,13
2020-10-07,76393,997,5568,16
2020-10-08,77495,1102,5577,9
2020-10-09,78557,1062,5584,7
2020-10-10,79522,965,5601,17
2020-10-11,80504,982,5611,10
2020-10-12,81200,696,5619,8
2020-10-13,82226,1026,5631,12
2020-10-14,83406,1180,5648,17
2020-10-15,84580,1174,5657,9
2020-10-16,85831,1251,5679,22
2020-10-17,86727,896,5687,8
2020-10-18,87523,796,5701,14
2020-10-19,88405,882,5721,20
2020-10-20,89468,1063,5731,10
2020-10-21,90441,973,5755,24
2020-10-22,91362,921,5774,19
2020-10-23,92390,1028,5789,15
2020-10-24,93286,896,5807,18
2020-10-25,94181,895,5823,16
2020-10-26,94899,718,5843,20
2020-10-27,95971,1072,5858,15
2020-10-28,96901,930,5881,23
2020-10-29,97917,1016,5897,16
2020-10-30,98892,975,5918,21
2020-10-31,99959,1067,5946,28
2020-11-01,100873,914,5964,18
2020-11-02,101702,829,5976,12
2020-11-03,102769,1067,5994,18
2020-11-04,103911,1142,6015,21
2020-11-05,105248,1337,6032,17
2020-11-06,106510,1262,6058,26
2020-11-07,107783,1273,6077,19
2020-11-08,109000,1217,6105,28
2020-11-09,110301,1301,6132,27
2020-11-10,111567,1266,6162,30
2020-11-11,112828,1261,6189,27
2020-11-12,114224,1396,6224,35
2020-11-13,115640,1416,6244,20
2020-11-14,116778,1138,6272,28
2020-11-15,117888,1110,6296,24
2020-11-16,118921,1033,6322,26
2020-11-17,120185,1264,6351,29
2020-11-18,121433,1248,6381,30
2020-11-19,122617,1184,6410,29
2020-11-20,123762,1145,6430,20
2020-11-21,124853,1091,6453,23
2020-11-22,126128,1275,6484,31
2020-11-23,127115,987,6506,22
2020-11-24,128393,1278,6540,34
2020-11-25,129823,1430,6564,24
2020-11-26,131197,1374,6587,23
2020-11-27,132612,1415,6608,21
2020-11-28,133885,1273,6638,30
2020-11-29,135132,1247,6672,34
2020-11-30,136543,1411,6703,31
2020-12-01,138131,1588,6726,23
2020-12-02,139738,1607,6759,33
2020-12-03,141449,1711,6797,38
2020-12-04,143043,1594,6833,36
2020-12-05,144746,1703,6864,31
2020-12-06,146245,1499,6891,27
2020-12-07,147740,1495,6926,35
2020-12-08,149490,1750,6965,39
2020-12-09,151288,1798,6994,29
2020-12-10,153109,1821,7024,30
2020-12-11,155115,2006,7064,40
2020-12-12,156983,1868,7100,36
2020-12-13,158669,1686,7132,32
2020-12-14,160554,1885,7172,40
2020-12-15,162422,1868,7208,36
2020-12-16,164548,2126,7239,31
2020-12-17,166742,2194,7283,44
2020-12-18,168771,2029,7317,34
2020-12-19,170937,2166,7348,31
2020-12-20,172933,1996,7382,34
2020-12-21,174937,2004,7422,40
2020-12-22,177145,2208,7482,60
2020-12-23,179522,2377,7530,48
2020-12-24,181939,2417,7569,39
2020-12-25,184262,2323,7616,47
2020-12-26,186322,2060,7662,46
2020-12-27,188562,2240,7706,44
2020-12-28,190711,2149,7747,41
2020-12-29,193816,3105,7791,44
2020-12-30,196825,3009,7845,54
2020-12-31,199381,2556,7883,38
2021-01-01,201811,2430,7915,32
2021-01-02,204100,2289,7960,45
2021-01-03,206443,2343,8003,43
2021-01-04,208957,2514,8052,49
2021-01-05,211594,2637,8106,54
2021-01-06,214247,2653,8147,41
2021-01-07,217046,2799,8194,47
2021-01-08,219572,2526,8241,47
2021-01-09,221558,1986,8291,50
2021-01-10,223800,2242,8330,39
2021-01-11,225642,1842,8377,47
2021-01-12,227809,2167,8429,52
2021-01-13,229862,2053,8492,63
2021-01-14,231828,1966,8544,52
2021-01-15,233837,2009,8594,50
2021-01-16,235619,1782,8641,47
2021-01-17,236995,1376,8685,44
2021-01-18,238372,1377,8737,52
2021-01-19,239950,1578,8782,45
2021-01-20,241564,1614,8842,60
2021-01-21,243240,1676,8882,40
2021-01-22,244740,1500,8940,58
2021-01-23,246130,1390,8990,50
2021-01-24,247278,1148,9043,53
2021-01-25,248456,1178,9067,24
2021-01-26,249809,1353,9107,40
2021-01-27,251077,1268,9150,43
2021-01-28,252391,1314,9183,33
2021-01-29,253671,1280,9217,34
2021-01-30,254884,1213,9245,28
2021-01-31,255802,918,9279,34
2021-02-01,256692,890,9302,23
2021-02-02,257872,1180,9337,35
2021-02-03,258980,1108,9367,30
2021-02-04,259987,1007,9397,30
2021-02-05,261222,1235,9422,25
2021-02-06,262302,1080,9444,22
2021-02-07,263123,821,9468,24
2021-02-08,263874,751,9489,21
2021-02-09,264805,931,9513,24
2021-02-10,265959,1154,9537,24
2021-02-11,266932,973,9560,23
2021-02-12,267968,1036,9575,15
2021-02-13,268784,816,9590,15
2021-02-14,269501,717,9608,18
2021-02-15,270169,668,9623,15
2021-02-16,270977,808,9634,11
2021-02-17,271768,791,9650,16
2021-02-18,272627,859,9664,14
2021-02-19,273383,756,9673,9
2021-02-20,274136,753,9688,15
2021-02-21,274930,794,9699,11
2021-02-22,275550,620,9708,9
2021-02-23,276358,808,9721,13
2021-02-24,277200,842,9734,13
2021-02-25,277974,774,9740,6
2021-02-26,278852,878,9750,10
2021-02-27,279518,666,9759,9
2021-02-28,280091,573,9765,6
2021-03-01,280618,527,9774,9
2021-03-02,281443,825,9784,10
2021-03-03,282180,737,9796,12
2021-03-04,283045,865,9806,10
2021-03-05,283782,737,9815,9
2021-03-06,284470,688,9825,10
2021-03-07,285049,579,9833,8
2021-03-08,285645,596,9842,9
2021-03-09,286388,743,9850,8
2021-03-10,287103,715,9859,9
2021-03-11,288025,922,9871,12
2021-03-12,288843,818,9873,2
2021-03-13,289483,640,9882,9
2021-03-14,290054,571,9890,8
2021-03-15,290718,664,9903,13
2021-03-16,291772,1054,9908,5
2021-03-17,292688,916,9913,5
2021-03-18,293514,826,9919,6
2021-03-19,294305,791,9924,5
2021-03-20,294905,600,9934,10
2021-03-21,295396,491,9941,7
2021-03-22,296471,1075,9946,5
2021-03-23,297440,969,9949,3
2021-03-24,298473,1033,9957,8
2021-03-25,299293,820,9965,8
2021-03-26,300192,899,9971,6
2021-03-27,301134,942,9975,4
2021-03-28,301994,860,9979,4
2021-03-29,302980,986,9985,6
2021-03-30,304244,1264,9994,9
2021-03-31,305395,1151,9998,4
2021-04-01,306700,1305,10006,8
2021-04-02,308031,1331,10013,7
2021-04-03,309275,1244,10016,3
